textbox1,textbox3,textbox4,textbox5,textbox6,textbox55,textbox7,textbox56,textbox8,textbox9
"MARKTGEGEVENS ELEKTRICITEIT 2015: MARKTAANDELEN ACTIEVE LEVERANCIERS,""Sinds 2004 bevraagt de VREG maandelijks de netbeheerders met betrekking tot het aantal toegangspunten per leverancier. Gegevens met betrekking tot de geleverde hoeveelheden per leverancier worden slechts 1 keer per jaar opgevraagd met betrekking tot het voorbije kalenderjaar. De statistieken hebben enkel betrekking op het Vlaamse grondgebied en beperken zich tot de activiteiten op het distributienet, gedefinieerd als het net met een nominale spanning lager dan of gelijk aan 70 kV."",De toegangspunten die door Inter-energa (voorheen Interelectra) in het verleden toegekend werden aan een exclusief nachtmeter worden niet opgenomen in de statistieken. In theorie kunnen deze gezinnen weliswaar een andere leverancier kiezen voor levering aan de exclusief nachtmeter. In de praktijk zal dit meestal niet gebeuren.,Tabel 1: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal eindafnemers elektriciteit (toegangspunten),Tabel 2: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal AMR elektriciteitsafnemers (toegangspunten),AMR staat voor automated meter read. Het betreft de grootste elektriciteitsafnemers van wie de meterstanden dagelijks van op afstand worden uitgelezen. Een speciaal aangepaste meter houdt voor elektriciteit het verbruik bij per kwartier en voor gas per uur. Er is hierbij geen tussenkomst van een meteropnemer nodig.,Tabel 3: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal MMR elektriciteitsafnemers (toegangspunten),MMR staat voor monthly meter read. Het betreft de elektriciteitsafnemers van wie de meterstanden maandelijks worden uitgelezen. Meestal is hiervoor de tussenkomst van een meteropnemer nodig.,""Tabel 4: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal jaargelezen, professionele elektriciteitsafnemers (toegangspunten)"",""Tabel 5: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal jaargelezen, huishoudelijke elektriciteitsafnemers (toegangspunten)"""

textbox34,LeverancierNaam,Color1,DatumID,Percentage
"Leverancier,Elexys NV,1,okt 2015,""0,13%"""
"Leverancier,Elexys NV,1,sep 2015,""0,13%"""
"Leverancier,Elexys NV,1,aug 2015,""0,12%"""
"Leverancier,Elexys NV,1,jul 2015,""0,12%"""
"Leverancier,Elexys NV,1,jun 2015,""0,11%"""
"Leverancier,Elexys NV,1,mei 2015,""0,11%"""
"Leverancier,Elexys NV,1,apr 2015,""0,10%"""
"Leverancier,Elexys NV,1,mrt 2015,""0,10%"""
"Leverancier,Elexys NV,1,feb 2015,""0,10%"""
"Leverancier,Elexys NV,1,jan 2015,""0,09%"""
"Leverancier,Elindus BVBA,0,dec 2015,""0,09%"""
"Leverancier,Elindus BVBA,0,nov 2015,""0,08%"""
"Leverancier,Elindus BVBA,0,okt 2015,""0,08%"""
"Leverancier,Elindus BVBA,0,sep 2015,""0,08%"""
"Leverancier,Elindus BVBA,0,aug 2015,""0,08%"""
"Leverancier,Elindus BVBA,0,jul 2015,""0,07%"""
"Leverancier,Elindus BVBA,0,jun 2015,""0,07%"""
"Leverancier,Elindus BVBA,0,mei 2015,""0,07%"""
"Leverancier,Elindus BVBA,0,apr 2015,""0,06%"""
"Leverancier,Elindus BVBA,0,mrt 2015,""0,05%"""
"Leverancier,Elindus BVBA,0,feb 2015,""0,05%"""
"Leverancier,Elindus BVBA,0,jan 2015,""0,04%"""
"Leverancier,E.ON Belgium NV,1,dec 2015,""0,07%"""
"Leverancier,E.ON Belgium NV,1,nov 2015,""0,07%"""
"Leverancier,E.ON Belgium NV,1,okt 2015,""0,07%"""
"Leverancier,E.ON Belgium NV,1,sep 2015,""0,07%"""
"Leverancier,E.ON Belgium NV,1,aug 2015,""0,07%"""
"Leverancier,E.ON Belgium NV,1,jul 2015,""0,07%"""
"Leverancier,E.ON Belgium NV,1,jun 2015,""0,06%"""
"Leverancier,E.ON Belgium NV,1,mei 2015,""0,06%"""
"Leverancier,E.ON Belgium NV,1,apr 2015,""0,06%"""
"Leverancier,E.ON Belgium NV,1,mrt 2015,""0,06%"""
"Leverancier,E.ON Belgium NV,1,feb 2015,""0,06%"""
"Leverancier,E.ON Belgium NV,1,jan 2015,""0,06%"""
"Leverancier,Wase Wind cvba,0,dec 2015,""0,07%"""
"Leverancier,Wase Wind cvba,0,nov 2015,""0,07%"""
"Leverancier,Wase Wind cvba,0,okt 2015,""0,07%"""
"Leverancier,Wase Wind cvba,0,sep 2015,""0,07%"""
"Leverancier,Wase Wind cvba,0,aug 2015,""0,07%"""
"Leverancier,Wase Wind cvba,0,jul 2015,""0,07%"""
"Leverancier,Wase Wind cvba,0,jun 2015,""0,07%"""
"Leverancier,Wase Wind cvba,0,mei 2015,""0,07%"""
"Leverancier,Wase Wind cvba,0,apr 2015,""0,07%"""
"Leverancier,Wase Wind cvba,0,mrt 2015,""0,07%"""
"Leverancier,Wase Wind cvba,0,feb 2015,""0,07%"""
"Leverancier,Wase Wind cvba,0,jan 2015,""0,06%"""
"Leverancier,Belgian Eco Energy NV,1,dec 2015,""0,03%"""
"Leverancier,Belgian Eco Energy NV,1,nov 2015,""0,03%"""
"Leverancier,Belgian Eco Energy NV,1,okt 2015,""0,03%"""
"Leverancier,Belgian Eco Energy NV,1,sep 2015,""0,03%"""
"Leverancier,Belgian Eco Energy NV,1,aug 2015,""0,03%"""
"Leverancier,Belgian Eco Energy NV,1,jul 2015,""0,03%"""
"Leverancier,Belgian Eco Energy NV,1,jun 2015,""0,03%"""
"Leverancier,Belgian Eco Energy NV,1,mei 2015,""0,03%"""
"Leverancier,Belgian Eco Energy NV,1,apr 2015,""0,03%"""
"Leverancier,Belgian Eco Energy NV,1,mrt 2015,""0,03%"""
"Leverancier,Belgian Eco Energy NV,1,feb 2015,""0,02%"""
"Leverancier,Belgian Eco Energy NV,1,jan 2015,""0,02%"""
"Leverancier,Energy People BVBA,0,dec 2015,""0,03%"""
"Leverancier,Energy People BVBA,0,nov 2015,""0,03%"""
"Leverancier,Energy People BVBA,0,okt 2015,""0,02%"""
"Leverancier,Energy People BVBA,0,sep 2015,""0,02%"""
"Leverancier,Energy People BVBA,0,aug 2015,""0,01%"""
"Leverancier,Energy People BVBA,0,jul 2015,""< 0,01%"""
"Leverancier,Energy People BVBA,0,jun 2015,""< 0,01%"""
"Leverancier,Energy People BVBA,0,mei 2015,""< 0,01%"""
"Leverancier,Energy People BVBA,0,apr 2015,""< 0,01%"""
"Leverancier,Energy People BVBA,0,mrt 2015,""< 0,01%"""
"Leverancier,Energy People BVBA,0,feb 2015,""< 0,01%"""
"Leverancier,Energy People BVBA,0,jan 2015,""< 0,01%"""
"Leverancier,Comfort Energy NV,1,dec 2015,""0,03%"""
"Leverancier,Comfort Energy NV,1,nov 2015,""0,02%"""
"Leverancier,Comfort Energy NV,1,okt 2015,""0,02%"""
"Leverancier,Comfort Energy NV,1,sep 2015,""0,02%"""
"Leverancier,Comfort Energy NV,1,aug 2015,""0,01%"""
"Leverancier,Comfort Energy NV,1,jul 2015,""< 0,01%"""
"Leverancier,Comfort Energy NV,1,jun 2015,""< 0,01%"""
"Leverancier,Comfort Energy NV,1,mei 2015,""< 0,01%"""
"Leverancier,Comfort Energy NV,1,apr 2015,""0,00%"""
"Leverancier,Comfort Energy NV,1,mrt 2015,""0,00%"""
"Leverancier,Comfort Energy NV,1,feb 2015,""0,00%"""
"Leverancier,Comfort Energy NV,1,jan 2015,""0,00%"""
"Leverancier,Scholt Energy Control NV,0,dec 2015,""0,02%"""
"Leverancier,Scholt Energy Control NV,0,nov 2015,""0,02%"""
"Leverancier,Scholt Energy Control NV,0,okt 2015,""0,02%"""
"Leverancier,Scholt Energy Control NV,0,sep 2015,""0,02%"""
"Leverancier,Scholt Energy Control NV,0,aug 2015,""0,02%"""
"Leverancier,Scholt Energy Control NV,0,jul 2015,""0,02%"""
"Leverancier,Scholt Energy Control NV,0,jun 2015,""0,02%"""
"Leverancier,Scholt Energy Control NV,0,mei 2015,""0,02%"""
"Leverancier,Scholt Energy Control NV,0,apr 2015,""0,02%"""
"Leverancier,Scholt Energy Control NV,0,mrt 2015,""0,02%"""
"Leverancier,Scholt Energy Control NV,0,feb 2015,""0,02%"""
"Leverancier,Scholt Energy Control NV,0,jan 2015,""0,02%"""
"Leverancier,WE Power NV,1,dec 2015,""0,02%"""
"Leverancier,WE Power NV,1,nov 2015,""0,02%"""
"Leverancier,WE Power NV,1,okt 2015,""0,02%"""
"Leverancier,WE Power NV,1,sep 2015,""0,02%"""
"Leverancier,WE Power NV,1,aug 2015,""0,02%"""
"Leverancier,WE Power NV,1,jul 2015,""0,02%"""
"Leverancier,WE Power NV,1,jun 2015,""0,02%"""
"Leverancier,WE Power NV,1,mei 2015,""0,02%"""
"Leverancier,WE Power NV,1,apr 2015,""0,02%"""
"Leverancier,WE Power NV,1,mrt 2015,""0,02%"""
"Leverancier,WE Power NV,1,feb 2015,""0,02%"""
"Leverancier,WE Power NV,1,jan 2015,""0,02%"""
"Leverancier,Trevion NV,0,dec 2015,""0,01%"""
"Leverancier,Trevion NV,0,nov 2015,""0,01%"""
"Leverancier,Trevion NV,0,okt 2015,""0,01%"""
"Leverancier,Trevion NV,0,sep 2015,""0,01%"""
"Leverancier,Trevion NV,0,aug 2015,""0,01%"""
"Leverancier,Trevion NV,0,jul 2015,""0,01%"""
"Leverancier,Trevion NV,0,jun 2015,""0,01%"""
"Leverancier,Trevion NV,0,mei 2015,""0,01%"""
"Leverancier,Trevion NV,0,apr 2015,""0,01%"""
"Leverancier,Trevion NV,0,mrt 2015,""0,01%"""
"Leverancier,Trevion NV,0,feb 2015,""0,01%"""
"Leverancier,Trevion NV,0,jan 2015,""0,01%"""
"Leverancier,Electrabel NV,1,dec 2015,""< 0,01%"""
"Leverancier,Electrabel NV,1,nov 2015,""< 0,01%"""
